Classes,avg,weighted_l,double_we_l,double_double_we_l,length_we_vol,avg %,weighted_l %,double_we_l %,double_double_we_l %,length_we_vol %,len_weighted_vol
100,312,31200,3120000,312000000,0.0,0.517,0.056,0.003,0.0,0.001,6.588194471805148e-06
200,5388,1077600,215520000,43104000000,0.005,8.922,1.935,0.204,0.013,0.519,0.0051919479089892724
300,8944,2683200,804960000,241488000000,0.016,14.811,4.818,0.761,0.071,1.634,0.016340587881983403
400,8071,3228400,1291360000,516544000000,0.019,13.365,5.797,1.221,0.153,1.899,0.018989812118803694
500,6485,3242500,1621250000,810625000000,0.019,10.739,5.823,1.533,0.24,1.897,0.018965748083145162
600,4638,2782800,1669680000,1001808000000,0.019,7.68,4.997,1.579,0.296,1.929,0.019286849719607847
700,3608,2525600,1767920000,1237544000000,0.018,5.975,4.535,1.671,0.366,1.758,0.017579263168988855
800,2911,2328800,1863040000,1490432000000,0.018,4.82,4.182,1.761,0.441,1.805,0.018051870759012864
900,2364,2127600,1914840000,1723356000000,0.018,3.915,3.821,1.81,0.51,1.794,0.017943091387442843
1000,2021,2021000,2021000000,2021000000000,0.018,3.347,3.629,1.911,0.598,1.781,0.017810560657490097
1100,1615,1776500,1954150000,2149565000000,0.018,2.674,3.19,1.848,0.636,1.785,0.017850044171069352
1200,1397,1676400,2011680000,2414016000000,0.017,2.313,3.01,1.902,0.714,1.674,0.016739640160056572
1300,1160,1508000,1960400000,2548520000000,0.016,1.921,2.708,1.853,0.754,1.637,0.016366918207635087
1400,1098,1537200,2152080000,3012912000000,0.016,1.818,2.76,2.035,0.891,1.56,0.015595269023464097
1500,933,1399500,2099250000,3148875000000,0.016,1.545,2.513,1.985,0.931,1.583,0.015825630055928713
1600,765,1224000,1958400000,3133440000000,0.017,1.267,2.198,1.852,0.927,1.685,0.016849388229922775
1700,745,1266500,2153050000,3660185000000,0.015,1.234,2.274,2.036,1.082,1.509,0.015091590489791121
1800,687,1236600,2225880000,4006584000000,0.016,1.138,2.221,2.104,1.185,1.602,0.016018317511104437
1900,545,1035500,1967450000,3738155000000,0.015,0.902,1.859,1.86,1.105,1.489,0.014891135309878947
2000,565,1130000,2260000000,4520000000000,0.016,0.936,2.029,2.137,1.337,1.603,0.016032974138278495
2100,513,1077300,2262330000,4750893000000,0.014,0.85,1.935,2.139,1.405,1.431,0.014310250321711786
2200,445,979000,2153800000,4738360000000,0.014,0.737,1.758,2.036,1.401,1.446,0.014461177278049327
2300,402,924600,2126580000,4891134000000,0.016,0.666,1.66,2.011,1.446,1.63,0.016302689804690237
2400,372,892800,2142720000,5142528000000,0.014,0.616,1.603,2.026,1.521,1.437,0.014369589825792048
2500,338,845000,2112500000,5281250000000,0.013,0.56,1.517,1.997,1.562,1.346,0.013458260321900015
2600,301,782600,2034760000,5290376000000,0.016,0.498,1.405,1.924,1.564,1.566,0.015660584521411978
2700,252,680400,1837080000,4960116000000,0.016,0.417,1.222,1.737,1.467,1.574,0.015738446035805258
2800,258,722400,2022720000,5663616000000,0.013,0.427,1.297,1.912,1.675,1.296,0.01296022270846215
2900,262,759800,2203420000,6389918000000,0.016,0.434,1.364,2.083,1.889,1.59,0.015899736168492377
3000,257,771000,2313000000,6939000000000,0.013,0.426,1.385,2.187,2.052,1.301,0.013006395412458004
3100,220,682000,2114200000,6554020000000,0.017,0.364,1.225,1.999,1.938,1.66,0.0166008901943708
3200,196,627200,2007040000,6422528000000,0.017,0.325,1.126,1.898,1.899,1.738,0.017378032531997895
3300,193,636900,2101770000,6935841000000,0.015,0.32,1.144,1.987,2.051,1.506,0.015062780896419489
3400,163,554200,1884280000,6406552000000,0.02,0.27,0.995,1.781,1.894,2.004,0.020041535675405488
3500,162,567000,1984500000,6945750000000,0.014,0.268,1.018,1.876,2.054,1.361,0.01360673028393993
3600,153,550800,1982880000,7138368000000,0.019,0.253,0.989,1.875,2.111,1.898,0.01897724502474943
3700,124,458800,1697560000,6280972000000,0.014,0.205,0.824,1.605,1.857,1.352,0.013519388259980274
3800,119,452200,1718360000,6529768000000,0.013,0.197,0.812,1.625,1.931,1.26,0.012604070863538295
3900,114,444600,1733940000,6762366000000,0.016,0.189,0.798,1.639,2.0,1.624,0.016236915013797433
4000,106,424000,1696000000,6784000000000,0.009,0.176,0.761,1.603,2.006,0.869,0.0086916451165698
4100,105,430500,1765050000,7236705000000,0.014,0.174,0.773,1.669,2.14,1.375,0.013746234718502249
4200,107,449400,1887480000,7927416000000,0.013,0.177,0.807,1.784,2.344,1.296,0.01296211813982583
4300,86,369800,1590140000,6837602000000,0.014,0.142,0.664,1.503,2.022,1.381,0.013811546528427353
4400,66,290400,1277760000,5622144000000,0.009,0.109,0.521,1.208,1.662,0.875,0.008754374416488967
4500,70,315000,1417500000,6378750000000,0.017,0.116,0.566,1.34,1.886,1.698,0.016976256213251037
4600,62,285200,1311920000,6034832000000,0.014,0.103,0.512,1.24,1.784,1.422,0.014216605444484566
4700,75,352500,1656750000,7786725000000,0.01,0.124,0.633,1.566,2.302,0.99,0.009901765395533104
4800,60,288000,1382400000,6635520000000,0.014,0.099,0.517,1.307,1.962,1.39,0.013898554294589834
4900,47,230300,1128470000,5529503000000,0.007,0.078,0.414,1.067,1.635,0.721,0.0072088899223581296
5000,52,260000,1300000000,6500000000000,0.011,0.086,0.467,1.229,1.922,1.124,0.011240842878021212
5100,44,224400,1144440000,5836644000000,0.01,0.073,0.403,1.082,1.726,0.965,0.009654319564053559
5200,38,197600,1027520000,5343104000000,0.015,0.063,0.355,0.971,1.58,1.452,0.014516132103032773
5300,43,227900,1207870000,6401711000000,0.019,0.071,0.409,1.142,1.893,1.903,0.019032415990218918
5400,26,140400,758160000,4094064000000,0.013,0.043,0.252,0.717,1.211,1.347,0.013470216522921871
5500,30,165000,907500000,4991250000000,0.008,0.05,0.296,0.858,1.476,0.764,0.007644687547091951
5600,24,134400,752640000,4214784000000,0.012,0.04,0.241,0.712,1.246,1.172,0.011723220397992305
5700,44,250800,1429560000,8148492000000,0.028,0.073,0.45,1.352,2.409,2.751,0.02750941727626469
5800,19,110200,639160000,3707128000000,0.02,0.031,0.198,0.604,1.096,2.038,0.020375453716262013
5900,15,88500,522150000,3080685000000,0.006,0.025,0.159,0.494,0.911,0.644,0.0064431470507760194
6000,21,126000,756000000,4536000000000,0.009,0.035,0.226,0.715,1.341,0.874,0.008736478174233597
6100,9,54900,334890000,2042829000000,0.011,0.015,0.099,0.317,0.604,1.076,0.010758281828626027
6200,18,111600,691920000,4289904000000,0.006,0.03,0.2,0.654,1.269,0.642,0.0064211150933125415
6300,12,75600,476280000,3000564000000,0.01,0.02,0.136,0.45,0.887,1.027,0.0102721265328205
6400,10,64000,409600000,2621440000000,0.006,0.017,0.115,0.387,0.775,0.552,0.005521632502034241
6500,14,91000,591500000,3844750000000,0.003,0.023,0.163,0.559,1.137,0.315,0.003151938587230969
6600,8,52800,348480000,2299968000000,0.008,0.013,0.095,0.329,0.68,0.809,0.00808936074507522
6700,8,53600,359120000,2406104000000,0.004,0.013,0.096,0.34,0.711,0.366,0.0036617538455094335
6800,4,27200,184960000,1257728000000,0.002,0.007,0.049,0.175,0.372,0.233,0.002326279158939003
6900,9,62100,428490000,2956581000000,0.001,0.015,0.112,0.405,0.874,0.122,0.0012204376344239155
7000,6,42000,294000000,2058000000000,0.002,0.01,0.075,0.278,0.609,0.228,0.0022839697817300395
7100,5,35500,252050000,1789555000000,0.004,0.008,0.064,0.238,0.529,0.385,0.0038501763705701274
7200,6,43200,311040000,2239488000000,0.002,0.01,0.078,0.294,0.662,0.223,0.0022315395089158997
7300,0,0,0,0,0.003,0.0,0.0,0.0,0.0,0.295,0.002951782114811601
7400,4,29600,219040000,1620896000000,0.0,0.007,0.053,0.207,0.479,0.0,0.0
7500,2,15000,112500000,843750000000,0.011,0.003,0.027,0.106,0.249,1.148,0.011484673776635418
7600,3,22800,173280000,1316928000000,0.003,0.005,0.041,0.164,0.389,0.339,0.0033872824849100684
7700,3,23100,177870000,1369599000000,0.004,0.005,0.041,0.168,0.405,0.393,0.003934013867655204
7800,4,31200,243360000,1898208000000,0.001,0.007,0.056,0.23,0.561,0.109,0.0010892046302778092
7900,5,39500,312050000,2465195000000,0.003,0.008,0.071,0.295,0.729,0.317,0.003172182691837423
8000,0,0,0,0,0.011,0.0,0.0,0.0,0.0,1.103,0.011026672220818715
8100,2,16200,131220000,1062882000000,0.001,0.003,0.029,0.124,0.314,0.143,0.0014277196015295421
8200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8300,2,16600,137780000,1143574000000,0.0,0.003,0.03,0.13,0.338,0.036,0.0003565240223005916
8400,1,8400,70560000,592704000000,0.001,0.002,0.015,0.067,0.175,0.069,0.0006917468297344201
8500,4,34000,289000000,2456500000000,0.0,0.007,0.061,0.273,0.726,0.02,0.00020041721562928986
8600,1,8600,73960000,636056000000,0.004,0.002,0.015,0.07,0.188,0.42,0.004198522749991152
8700,1,8700,75690000,658503000000,0.008,0.002,0.016,0.072,0.195,0.759,0.007586231737970969
8800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8900,1,8900,79210000,704969000000,0.0,0.002,0.016,0.075,0.208,0.0,0.0
9000,0,0,0,0,0.002,0.0,0.0,0.0,0.0,0.153,0.0015304026714587633
9100,2,18200,165620000,1507142000000,0.0,0.003,0.033,0.157,0.446,0.015,0.00014656434949821752
9200,1,9200,84640000,778688000000,0.004,0.002,0.017,0.08,0.23,0.401,0.004007201964296168
9300,0,0,0,0,0.001,0.0,0.0,0.0,0.0,0.114,0.0011394783373644204
9400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9500,1,9500,90250000,857375000000,0.0,0.002,0.017,0.085,0.254,0.0,0.0
9600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,9.60461712051837e-05
9700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9900,1,9900,98010000,970299000000,0.0,0.002,0.018,0.093,0.287,0.0,0.0
10000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0004967663631644699
10100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10400,1,10400,108160000,1124864000000,0.002,0.002,0.019,0.102,0.333,0.205,0.002054188439390083
10500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10800,1,10800,116640000,1259712000000,0.001,0.002,0.019,0.11,0.372,0.064,0.0006418943507274091
10900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11400,1,11400,129960000,1481544000000,0.001,0.002,0.02,0.123,0.438,0.138,0.0013776436059909447
11500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11600,1,11600,134560000,1560896000000,0.002,0.002,0.021,0.127,0.462,0.216,0.0021554726199305464
11700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12600,1,12600,158760000,2000376000000,0.0,0.002,0.023,0.15,0.592,0.0,0.0
12700,0,0,0,0,0.003,0.0,0.0,0.0,0.0,0.292,0.0029222658627495366
12800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14200,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14700,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
